Algorithm,Size,Total bytes,Total time[us],Tests,Time per test,Time per elem
JKI,1,12,10.5706,8388607,1.26012e-06,1.26012e-06
IKJ,1,12,10.2198,8388607,1.2183e-06,1.2183e-06
JKI,2,48,3.91705,2965820,1.32073e-06,3.30183e-07
IKJ,2,48,3.5792,2965820,1.20681e-06,3.01704e-07
JKI,3,108,2.6041,2097151,1.24173e-06,1.3797e-07
IKJ,3,108,2.76623,2097151,1.31904e-06,1.4656e-07
JKI,4,192,1.67112,1048575,1.59371e-06,9.96067e-08
IKJ,4,192,1.33097,1048575,1.26932e-06,7.93324e-08
JKI,5,300,1.23062,741455,1.65974e-06,6.63896e-08
IKJ,5,300,0.997166,741455,1.34488e-06,5.37951e-08
JKI,6,432,1.02358,524287,1.95232e-06,5.42311e-08
IKJ,6,432,0.777456,524287,1.48288e-06,4.11912e-08
JKI,7,588,0.764588,370727,2.0624e-06,4.20898e-08
IKJ,7,588,0.51121,370727,1.37894e-06,2.81416e-08
JKI,8,768,0.722401,262143,2.75575e-06,4.30586e-08
IKJ,8,768,0.374763,262143,1.42961e-06,2.23377e-08
JKI,10,1200,0.714556,185363,3.8549e-06,3.8549e-08
IKJ,10,1200,0.316968,185363,1.70999e-06,1.70999e-08
JKI,11,1452,0.621835,131071,4.74426e-06,3.92088e-08
IKJ,11,1452,0.21359,131071,1.62957e-06,1.34675e-08
JKI,13,2028,0.863625,92681,9.31826e-06,5.51376e-08
IKJ,13,2028,0.157517,92681,1.69956e-06,1.00566e-08
JKI,16,3072,1.26108,65535,1.92428e-05,7.51673e-08
IKJ,16,3072,0.155233,65535,2.3687e-06,9.25274e-09
JKI,19,4332,2.52051,46340,5.43917e-05,1.5067e-07
IKJ,19,4332,0.111574,46340,2.40773e-06,6.6696e-09
JKI,23,6348,1.71803,32767,5.24316e-05,9.91145e-08
IKJ,23,6348,0.118283,32767,3.60982e-06,6.82385e-09
JKI,27,8748,1.97776,23170,8.53585e-05,1.1709e-07
IKJ,27,8748,0.121846,23170,5.2588e-06,7.21372e-09
JKI,32,12288,2.22808,16383,0.000136,1.32812e-07
IKJ,32,12288,0.12221,16383,7.45956e-06,7.28473e-09
JKI,38,17328,2.60576,11585,0.000224925,1.55765e-07
IKJ,38,17328,0.121656,11585,1.05011e-05,7.27225e-09
JKI,45,24300,2.65761,8191,0.000324454,1.60224e-07
IKJ,45,24300,0.109765,8191,1.34007e-05,6.61765e-09
JKI,54,34992,2.85944,5792,0.000493687,1.69303e-07
IKJ,54,34992,0.132661,5792,2.29041e-05,7.85464e-09
JKI,64,49152,2.37222,4095,0.000579297,1.4143e-07
IKJ,64,49152,0.174328,4095,4.25711e-05,1.03933e-08
JKI,76,69312,2.22089,2896,0.000766882,1.3277e-07
IKJ,76,69312,0.203225,2896,7.01744e-05,1.21493e-08
JKI,91,99372,1.89011,2047,0.000923354,1.11503e-07
IKJ,91,99372,0.241925,2047,0.000118185,1.42719e-08
JKI,108,139968,2.1238,1448,0.00146671,1.25747e-07
IKJ,108,139968,0.275934,1448,0.000190562,1.63376e-08
JKI,128,196608,3.37823,1023,0.00330228,2.01555e-07
IKJ,128,196608,0.339655,1023,0.000332018,2.02648e-08
JKI,152,277248,0.430954,724,0.000595241,2.57635e-08
IKJ,152,277248,0.354973,724,0.000490294,2.12212e-08
JKI,181,393132,0.514604,511,0.00100705,3.07394e-08
IKJ,181,393132,0.41801,511,0.000818023,2.49694e-08
JKI,215,554700,0.684993,362,0.00189224,4.09355e-08
IKJ,215,554700,0.519805,362,0.00143592,3.10638e-08
JKI,256,786432,3.52608,255,0.0138278,2.10995e-07
IKJ,256,786432,0.585001,255,0.00229412,3.50055e-08
JKI,304,1108992,1.57481,181,0.00870061,9.41461e-08
IKJ,304,1108992,0.713047,181,0.00393948,4.26277e-08
JKI,362,1572528,1.70823,127,0.0134506,1.02642e-07
IKJ,362,1572528,0.837565,127,0.006595,5.03266e-08
JKI,431,2229132,2.23727,90,0.0248585,1.3382e-07
IKJ,431,2229132,0.943196,90,0.01048,5.64163e-08
JKI,512,3145728,9.45395,63,0.150063,5.72444e-07
IKJ,512,3145728,1.18574,63,0.0188212,7.17972e-08
JKI,609,4450572,2.91392,45,0.0647539,1.74595e-07
IKJ,609,4450572,1.33062,45,0.0295693,7.97272e-08
JKI,724,6290112,3.20192,31,0.103288,1.97048e-07
IKJ,724,6290112,1.55098,31,0.0500315,9.5448e-08
JKI,861,8895852,3.88722,22,0.176692,2.38347e-07
IKJ,861,8895852,1.80697,22,0.0821352,1.10796e-07
JKI,1024,12582912,29.8687,15,1.99124,1.899e-06
IKJ,1024,12582912,2.09105,15,0.139404,1.32946e-07
JKI,1218,17802288,38.2285,11,3.47532,2.34261e-06
IKJ,1218,17802288,2.53491,11,0.230447,1.55337e-07
JKI,1448,25160448,41.6727,7,5.95324,2.83933e-06
IKJ,1448,25160448,2.74485,7,0.392122,1.87018e-07
JKI,1722,35583408,52.8598,5,10.572,3.56524e-06
IKJ,1722,35583408,3.46765,5,0.693529,2.33883e-07
JKI,2048,50331648,340.01,3,113.337,2.70215e-05
IKJ,2048,50331648,3.76205,3,1.25402,2.98981e-07